"datecode","t","species","gb2","gc","sr","wsn","wsh","win","wih","wan","wah","En","Eh","Tn","Th","gtn.est","gsn.est","gsn.corr","phi","gamma","eta","hleaf.rough","hleaf","pct.dE","deltaw"
"202505200000",14.6966663999997,"HEAR",4.5,0.000955,0,0.0265949013527719,0.026077451137573,0.0242490265224117,0.0242490265224117,0.01298840001,0.01871167946,0.002802787,0.002792372,22.09683876,21.77463595,0.201911949997426,0.219711002375836,0.271859583875483,0.00351284286684338,0.120826481722437,2.2170387103737,0.895925994275528,0.91179230938882,-0.371594416557525,11.2606265124117
"202505210000",11.3256936,"HEAR",4.5,0.000955,0,0.0323425204132559,0.0316479024920748,0.0273728880822858,0.0273728880822858,0.01107125005,0.01942517922,0.003204025,0.003237165,25.34966417,24.98471044,0.147357235534942,0.15563672613834,0.208734730144375,0.00457518496964763,0.092770991175278,2.20618036719939,0.82588934526598,0.846343690365789,1.03432401432573,16.3016380322858
"202601071201",10.8261111111111,"HEAN",4.5,0.0016,1,0.0305106819585567,0.0303011531293004,0.0290785015874796,0.0290785015874796,0.0201287803115132,0.0247115771979616,0.00805266529635013,0.00801097075536586,24.3718495057008,24.2567640940348,0.756005425880841,0.452730842248105,0.543531064860779,0.00294371399068023,0.241569362160346,2.14281688722502,0.934104663028542,0.953059706334244,-0.51777317757351,8.94972127596636
"202601071201",11.0679166666667,"HEAN",4.5,0.0016,1,0.0304290126164708,0.0302490768100302,0.0291640186733608,0.0291640186733608,0.0200720497689596,0.0247499669756208,0.00798693725203232,0.00797683644507613,24.3270741904654,24.2280530657087,0.751693615053031,0.449619953806751,0.527576677288221,0.00303273451780338,0.234478523239209,2.13857468283944,0.938679622443918,0.958428031857161,-0.126466587096573,9.0919689044012
"202601071201",11.2772222222222,"HEAN",4.5,0.0016,1,0.0304314039948628,0.0302304308334466,0.0290341045290325,0.0290341045290325,0.0199965533088235,0.0246134221720141,0.00794588091472785,0.00795885307584391,24.3283867555506,24.2177625700485,0.742275464788059,0.442849767438564,0.528201224374446,0.00302914860126441,0.234756099721976,2.13222666169156,0.933689630044884,0.954083634587935,0.163256424998965,9.037551220209
"202601071201",11.4697222222222,"HEAN",4.5,0.0016,1,0.0304557798965436,0.0302128070452414,0.0289825206380659,0.0289825206380659,0.0198306058905591,0.0244706169821999,0.0078687546774745,0.007892188988626,24.3417609203821,24.2080311168324,0.721956088104175,0.428358263089448,0.513893273020146,0.00311348695147694,0.228397010231176,2.13312520807814,0.931043448479475,0.95162628363213,0.297814738316648,9.15191474750679
"202601071201",11.6431944444444,"HEAN",4.5,0.0016,1,0.0304250835544487,0.0301654632632669,0.0290765652261487,0.0290765652261487,0.0196535465717316,0.0244321804046631,0.00775788625469431,0.00778757480327927,24.3249174356461,24.1818644205729,0.702187079585319,0.414408097864509,0.487278525603264,0.00328354301683858,0.216568233601451,2.1384347701103,0.935098265392408,0.955677415778111,0.382688629483255,9.42301865441708
"202601071201",11.8194444444444,"HEAN",4.5,0.0016,1,0.0303884517946416,0.0301364643015577,0.0291430614950025,0.0291430614950025,0.0195316310026208,0.024437474738227,0.00771330599197928,0.00772303193807602,24.3047976980404,24.1658191257053,0.692724113179299,0.407781747209018,0.472358326872238,0.00338725901286538,0.209937034165439,2.14798721551202,0.939195212573845,0.959017645648579,0.126093092985719,9.61143049238168
"202601081319",12.4675,"GOHI",4.5,0.00292,1,0.0322230745645158,0.031479673536193,0.0297632056393586,0.0297632056393586,0.0121473048073905,0.0211919142540465,0.0035776841800828,0.00361570675282719,25.2873967249591,24.8952727825084,0.174255464185606,0.087717528677777,0.101095106017332,0.0288836929405799,0.0449311582299255,2.22466811645612,0.905294818520212,0.923661259566272,1.06277051943445,17.6159008319681
"202601131415",13.3368055555556,"GOHI",4.5,0.00292,1,0.0317115024937807,0.0310578849178997,0.0298272643432525,0.0298272643432525,0.014438544181677,0.0222903648439001,0.00637171091064094,0.006388776202793,25.0184149375329,24.6691858260358,0.360371594732258,0.192951708464407,0.219538998880216,0.0133005981392545,0.0975728883912071,2.21489636026732,0.922383716045988,0.940581870855923,0.267829039819746,15.3887201615755
"202601131415",13.6276388888889,"GOHI",4.5,0.00292,1,0.0317181227350201,0.0311546800230341,0.0296338030458619,0.0296338030458619,0.0143687213129467,0.0222477230495877,0.00634780806204718,0.00635792227694765,25.0219199127621,24.7213055822584,0.357449383473026,0.191226357465291,0.220627992524301,0.013234947961911,0.0980568855663559,2.21697476504425,0.916720863555225,0.934286158529272,0.159333974839943,15.2650817329152
